,id,id_memoire,id_ech,Wilaya,Region,X,Y,Longitude,latitude,altitude,UD,LD,average profondeur,USDA Soil Taxonomy,pH,CE,CEC,A%,L%,S%,ALR(L),ALR(S),OM
36,37,21,12,Ouled Djellal,Doucen,5 137 791 667,3 463 802 222,5.137791666666667,34.63802222222222,168.0,60,100,80.0,,7.28,2.375,19.326,,,55.023,,,0.427
37,38,21,13,Biskra,Tolga,5 369 911 111,3 471 680 833,5.369911111111111,34.71680833333333,168.0,0,5,2.5,,7.718,3.067,16.631,24.639,40.37,34.991,0.214435496,0.1523331,2.074
38,39,21,13,Biskra,Tolga,5 369 911 111,3 471 680 833,5.369911111111111,34.71680833333333,168.0,5,15,10.0,,7.684,2.791,20.625,18.728,36.731,44.542,0.29254112,0.376278081,1.604
39,40,21,13,Biskra,Tolga,5 369 911 111,3 471 680 833,5.369911111111111,34.71680833333333,168.0,15,30,22.5,,7.603,2.244,28.035,6.746,29.471,63.783,0.640347892,0.975657962,0.684
40,41,21,13,Biskra,Tolga,5 369 911 111,3 471 680 833,5.369911111111111,34.71680833333333,168.0,30,60,45.0,,7.52,2.207,25.539,4.243,28.652,67.105,0.829480887,11.9908082537755,0.676
41,42,21,13,Biskra,Tolga,5 369 911 111,3 471 680 833,5.369911111111111,34.71680833333333,168.0,60,100,80.0,,7.489,2.41,20.456,7.382,31.095,61.523,0.624515932,0.920862875,1.06
42,43,21,14,Biskra,Tolga,5 389 869 444,3 472 976 111,5.389869444444445,34.72976111111111,153.0,0,5,2.5,,7.912,2.466,12.523,20.108,44.154,35.738,0.341600961,0.249761152,0.932
43,44,21,14,Biskra,Tolga,5 389 869 444,3 472 976 111,5.389869444444445,34.72976111111111,153.0,5,15,10.0,,7.862,2.605,13.685,23.207,41.217,35.576,0.249457189,0.185537927,0.842
44,45,21,14,Biskra,Tolga,5 389 869 444,3 472 976 111,5.389869444444445,34.72976111111111,153.0,15,30,22.5,,7.73,2.828,16.837,28.833,36.212,34.956,0.098962529,0.083631748,0.661
45,46,21,14,Biskra,Tolga,5 389 869 444,3 472 976 111,5.389869444444445,34.72976111111111,153.0,30,60,45.0,,7.519,2.532,22.195,26.142,40.746,33.112,0.192746004,0.102646437,0.622
46,47,21,14,Biskra,Tolga,5 389 869 444,3 472 976 111,5.389869444444445,34.72976111111111,153.0,60,100,80.0,,7.411,2.208,25.02,21.665,46.393,31.942,0.330693563,0.168603212,0.669
47,48,21,15,Biskra,El Hadjeb. Ain Ben Noui,5 685 094 444,348 095,5.685094444444445,34.8,97.0,0,5,2.5,,7.797,1.186,34.678,8.089,31.622,60.289,0.592093962,0.872342708,0.714
48,49,21,15,Biskra,El Hadjeb. Ain Ben Noui,5 685 094 444,348 095,5.685094444444445,34.8,97.0,5,15,10.0,,7.81,1.615,30.207,8.668,33.43,57.902,0.586216973,0.824774161,0.986
49,50,21,15,Biskra,El Hadjeb. Ain Ben Noui,5 685 094 444,348 095,5.685094444444445,34.8,97.0,15,30,22.5,,7.816,2.333,20.588,9.591,36.948,53.46,0.585726591,0.746164611,1.458
50,51,21,15,Biskra,El Hadjeb. Ain Ben Noui,5 685 094 444,348 095,5.685094444444445,34.8,97.0,30,60,45.0,,7.685,1.597,15.298,8.314,36.822,54.864,0.646296831,0.819476925,1.085
51,52,21,15,Biskra,El Hadjeb. Ain Ben Noui,5 685 094 444,348 095,5.685094444444445,34.8,97.0,60,100,80.0,,7.582,0.719,15.269,6.93,35.232,57.839,0.706203436,0.921486914,0.594
52,53,21,16,Biskra,El Hadjeb. Ain Ben Noui,5 721 369 444,3 480 611 111,5.721369444444445,34.80611111111111,97.0,0,5,2.5,,7.892,0.457,6.838,5.733,9.781,85.569,0.23200056,11.739337573388,1.498
53,54,21,16,Biskra,El Hadjeb. Ain Ben Noui,5 721 369 444,3 480 611 111,5.721369444444445,34.80611111111111,97.0,5,15,10.0,,7.926,0.344,8.332,4.932,9.331,86.477,0.276904241,1.24387666647671,1.215
54,55,21,16,Biskra,El Hadjeb. Ain Ben Noui,5 721 369 444,3 480 611 111,5.721369444444445,34.80611111111111,97.0,15,30,22.5,,8.006,0.114,11.165,3.196,8.84,88.007,0.441844136,14.3990908741954,0.593
55,56,21,16,Biskra,El Hadjeb. Ain Ben Noui,5 721 369 444,3 480 611 111,5.721369444444445,34.80611111111111,97.0,30,60,45.0,,8.097,0.065,10.607,2.178,11.212,86.502,0.71162322,15.9896627941857,0.174
56,57,21,16,Biskra,El Hadjeb. Ain Ben Noui,5 721 369 444,3 480 611 111,5.721369444444445,34.80611111111111,97.0,60,100,80.0,,8.133,0.124,8.971,2.124,13.264,84.684,0.795517956,1.600644806,0.112
57,58,21,17,Biskra,Zeribet El Ouad,6 425 194 444,3 470 161 111,6.425194444444445,34.70161111111111,44.0,0,5,2.5,,7.092,4.002,35.735,40.634,40.135,19.233,-0.005366416,-0.324842652,0.818
58,59,21,17,Biskra,Zeribet El Ouad,6 425 194 444,3 470 161 111,6.425194444444445,34.70161111111111,44.0,5,15,10.0,,7.292,3.496,33.525,42.96,40.402,16.632,-0.026661509,-0.412119897,0.665
59,60,21,17,Biskra,Zeribet El Ouad,6 425 194 444,3 470 161 111,6.425194444444445,34.70161111111111,44.0,15,30,22.5,,7.713,2.455,29.287,46.889,40.883,12.219,-0.059528306,-0.584035398,0.532
60,61,21,17,Biskra,Zeribet El Ouad,6 425 194 444,3 470 161 111,6.425194444444445,34.70161111111111,44.0,30,60,45.0,,7.892,2.15,29.835,43.08,40.629,16.354,-0.025439662,-0.420651802,1.548
61,62,21,17,Biskra,Zeribet El Ouad,6 425 194 444,3 470 161 111,6.425194444444445,34.70161111111111,44.0,60,100,80.0,,7.852,2.355,32.059,38.454,40.227,21.44,0.019576011,-0.253716854,2.395
62,63,21,18,Biskra,Zeribet El Ouad,6 454 083 333,34 695 475,6.454083333333333,34.695474999999995,44.0,0,5,2.5,,7.822,3.955,40.072,40.734,40.031,19.485,-0.007560726,-0.320256756,2.07
63,64,21,18,Biskra,Zeribet El Ouad,6 454 083 333,34 695 475,6.454083333333333,34.695474999999995,44.0,5,15,10.0,,7.815,3.727,39.766,40.596,40.725,17.899,0.001377742,-0.355654583,1.616
64,65,21,18,Biskra,Zeribet El Ouad,6 454 083 333,34 695 475,6.454083333333333,34.695474999999995,44.0,15,30,22.5,,7.801,3.199,38.747,40.486,41.935,15.012,0.015271669,-0.430866422,0.775
65,66,21,18,Biskra,Zeribet El Ouad,6 454 083 333,34 695 475,6.454083333333333,34.695474999999995,44.0,30,60,45.0,,7.798,2.705,36.188,41.463,41.034,16.349,-0.004516972,-0.404169633,1.069
66,67,21,18,Biskra,Zeribet El Ouad,6 454 083 333,34 695 475,6.454083333333333,34.695474999999995,44.0,60,100,80.0,,7.801,2.545,34.632,42.27,39.82,18.612,-0.025931095,-0.356239307,1.654
67,68,21,19,Biskra,El Outaya,5 632 847 222,3 490 718 611,5.632847222222223,34.90718611111111,198.0,0,5,2.5,,7.078,0.893,39.396,32.966,42.073,24.962,0.105937094,-0.120787007,1.731
68,69,21,19,Biskra,El Outaya,5 632 847 222,3 490 718 611,5.632847222222223,34.90718611111111,198.0,5,15,10.0,,7.128,0.839,38.569,39.037,41.637,19.327,0.028002885,-0.305312099,1.562
69,70,21,19,Biskra,El Outaya,5 632 847 222,3 490 718 611,5.632847222222223,34.90718611111111,198.0,15,30,22.5,,7.22,0.772,35.997,51.98,40.179,7.841,-0.111837235,-0.821464905,1.204
70,71,21,19,Biskra,El Outaya,5 632 847 222,3 490 718 611,5.632847222222223,34.90718611111111,198.0,30,60,45.0,,7.189,1.021,30.18,58.44,36.495,5.065,-0.204476914,-10.6213083188054,1.032
71,72,21,19,Biskra,El Outaya,5 632 847 222,3 490 718 611,5.632847222222223,34.90718611111111,198.0,60,100,80.0,,7.126,1.243,26.751,57.968,34.251,7.781,-0.228515136,-0.872152976,1.05
72,73,21,20,Biskra,El Outaya,5 616 736 111,3 492 097 222,5.616736111111112,34.92097222222222,198.0,0,5,2.5,,7.579,0.186,21.577,4.267,40.387,55.346,0.976117934,1.11296257809591,1.043
73,74,21,20,Biskra,El Outaya,5 616 736 111,3 492 097 222,5.616736111111112,34.92097222222222,198.0,5,15,10.0,,7.459,0.745,21.704,17.282,42.665,40.053,0.392477498,0.365040799,1.028
74,75,21,20,Biskra,El Outaya,5 616 736 111,3 492 097 222,5.616736111111112,34.92097222222222,198.0,15,30,22.5,,7.205,2.043,23.552,44.202,46.812,9.095,0.024915178,-0.686639315,0.949
75,76,21,20,Biskra,El Outaya,5 616 736 111,3 492 097 222,5.616736111111112,34.92097222222222,198.0,30,60,45.0,,7.077,3.281,33.306,53.003,44.899,3.088,-0.072063865,-1.23462324188561,0.647
76,77,21,20,Biskra,El Outaya,5 616 736 111,3 492 097 222,5.616736111111112,34.92097222222222,198.0,60,100,80.0,,7.085,3.691,40.102,48.42,41.654,9.927,-0.065368162,-0.688206853,0.446
77,334,27,109,Batna,Fesdis,62 475,3 561 777 778,6.2475000000000005,35.617777777777775,,0,5,2.5,,7.69,0.28,,25.0,30.0,45.0,0.079181072,0.255272331,3.69
78,335,27,109,Batna,Fesdis,62 475,3 561 777 778,6.2475000000000005,35.617777777777775,,5,15,10.0,,7.69,0.28,,25.0,30.0,45.0,0.079181072,0.255272331,3.69
79,336,27,109,Batna,Fesdis,62 475,3 561 777 778,6.2475000000000005,35.617777777777775,,15,30,22.5,,7.69,0.28,,25.0,30.0,45.0,0.079181072,0.255272331,3.69
80,337,27,109,Batna,Fesdis,62 475,3 561 777 778,6.2475000000000005,35.617777777777775,,30,60,45.0,,7.69,0.28,,25.0,30.0,45.0,0.079181072,0.255272331,3.69
81,388,29,135,Batna,Fesdis,6 231 925,3 560 833 333,6.231925,35.608333333333334,,0,5,2.5,,7.876,0.078,26.227,52.697,29.303,18.0,-0.254873889,-0.466513469,7.189
82,389,29,135,Batna,Fesdis,6 231 925,3 560 833 333,6.231925,35.608333333333334,,5,15,10.0,,7.895,0.126,26.291,53.707,28.293,18.0,-0.278351975,-0.47475847,7.081
83,390,29,135,Batna,Fesdis,6 231 925,3 560 833 333,6.231925,35.608333333333334,,15,30,22.5,,7.968,0.315,26.545,57.706,24.294,18.0,-0.37572202,-0.505948542,6.655
84,391,29,135,Batna,Fesdis,6 231 925,3 560 833 333,6.231925,35.608333333333334,,30,60,45.0,,8.027,0.469,26.75,60.948,21.052,18.0,-0.461666169,-0.529687025,6.309
85,392,29,136,Batna,Fesdis,6 208 108 333,3 558 756 389,6.208108333333334,35.587563888888894,,0,5,2.5,,7.558,0.522,28.472,46.697,33.738,19.566,-0.14116974,-0.377787024,7.664
86,393,29,136,Batna,Fesdis,6 208 108 333,3 558 756 389,6.208108333333334,35.587563888888894,,5,15,10.0,,7.598,0.515,27.843,47.707,32.391,19.902,-0.168157842,-0.379685476,7.49
87,394,29,136,Batna,Fesdis,6 208 108 333,3 558 756 389,6.208108333333334,35.587563888888894,,15,30,22.5,,7.758,0.486,25.35,51.706,27.058,21.235,-0.281245333,-0.386488761,6.804
88,395,29,136,Batna,Fesdis,6 208 108 333,3 558 756 389,6.208108333333334,35.587563888888894,,30,60,45.0,,7.888,0.463,23.329,54.948,22.735,22.316,-0.38325701,-0.391335616,6.247
89,396,29,137,Batna,Fesdis,6 224 972 222,3 560 268 333,6.224972222222222,35.60268333333333,,0,5,2.5,,8.243,0.444,30.954,55.783,29.0,15.217,-0.284103947,-0.564172904,6.794
90,397,29,137,Batna,Fesdis,6 224 972 222,3 560 268 333,6.224972222222222,35.60268333333333,,5,15,10.0,,8.256,0.456,30.586,55.951,29.0,15.049,-0.285409933,-0.570300288,6.636
91,398,29,137,Batna,Fesdis,6 224 972 222,3 560 268 333,6.224972222222222,35.60268333333333,,15,30,22.5,,8.309,0.505,29.133,56.618,29.0,14.382,-0.290556603,-0.595135316,6.009
92,399,29,137,Batna,Fesdis,6 224 972 222,3 560 268 333,6.224972222222222,35.60268333333333,,30,60,45.0,,8.353,0.545,27.955,57.158,29.0,13.842,-0.294679102,-0.615878255,5.501
93,400,29,138,Batna,Fesdis,6 238 977 778,3 561 046 389,6.2389777777777775,35.61046388888889,,0,5,2.5,,8.07,0.418,25.629,62.258,26.566,11.176,-0.369869067,-0.745908842,6.994
94,401,29,138,Batna,Fesdis,6 238 977 778,3 561 046 389,6.2389777777777775,35.61046388888889,,5,15,10.0,,8.109,0.435,25.521,59.733,26.902,13.365,-0.346429831,-0.650245437,6.836
95,402,29,138,Batna,Fesdis,6 238 977 778,3 561 046 389,6.2389777777777775,35.61046388888889,,15,30,22.5,,8.262,0.502,25.095,49.734,28.235,22.03,-0.245865685,-0.35363898,6.209
96,403,29,138,Batna,Fesdis,6 238 977 778,3 561 046 389,6.2389777777777775,35.61046388888889,,30,60,45.0,,8.386,0.556,24.749,41.629,29.316,29.055,-0.15229137,-0.156175203,5.701
97,404,29,139,Batna,Fesdis,6 252 397 222,3 560 833 056,6.252397222222222,35.608330555555554,,0,5,2.5,,8.134,0.468,31.161,49.348,42.652,8.0,-0.063330244,-0.790179657,7.327
98,405,29,139,Batna,Fesdis,6 252 397 222,3 560 833 056,6.252397222222222,35.608330555555554,,5,15,10.0,,8.177,0.487,30.974,49.853,42.147,8.0,-0.072924718,-0.794601398,7.081
99,406,29,139,Batna,Fesdis,6 252 397 222,3 560 833 056,6.252397222222222,35.608330555555554,,15,30,22.5,,8.351,0.565,30.234,51.853,40.147,8.0,-0.111120874,-0.811683985,6.108
100,407,29,139,Batna,Fesdis,6 252 397 222,3 560 833 056,6.252397222222222,35.608330555555554,,30,60,45.0,,8.491,0.628,29.635,53.474,38.526,8.0,-0.142388833,-0.825052766,5.319
101,408,29,140,Batna,Fesdis,6 262 180 556,3 561 090 833,6.262180555555555,35.610908333333334,,0,5,2.5,,8.097,0.532,28.315,54.869,32.697,12.434,-0.224819217,-0.644716261,7.379
102,409,29,140,Batna,Fesdis,6 262 180 556,3 561 090 833,6.262180555555555,35.610908333333334,,5,15,10.0,,8.161,0.554,28.125,54.195,33.707,12.098,-0.2062392,-0.651245721,7.209
103,410,29,140,Batna,Fesdis,6 262 180 556,3 561 090 833,6.262180555555555,35.610908333333334,,15,30,22.5,,8.415,0.64,27.372,51.529,37.706,10.765,-0.135641335,-0.680037765,6.536
104,411,29,140,Batna,Fesdis,6 262 180 556,3 561 090 833,6.262180555555555,35.610908333333334,,30,60,45.0,,8.62,0.711,26.761,49.368,40.948,9.684,-0.081212927,-0.707390841,5.99
105,412,29,141,Batna,Fesdis,6 282 777 778,35 614 025,6.282777777777778,35.614025,,0,5,2.5,,8.253,0.453,31.086,55.783,32.0,12.217,-0.241351966,-0.659537371,5.55
106,413,29,141,Batna,Fesdis,6 282 777 778,35 614 025,6.282777777777778,35.614025,,5,15,10.0,,8.22,0.482,30.244,55.951,32.0,12.049,-0.242657952,-0.666856926,5.449
107,414,29,141,Batna,Fesdis,6 282 777 778,35 614 025,6.282777777777778,35.614025,,15,30,22.5,,8.086,0.595,26.911,56.618,32.0,11.382,-0.247804622,-0.69673602,5.049
108,415,29,141,Batna,Fesdis,6 282 777 778,35 614 025,6.282777777777778,35.614025,,30,60,45.0,,7.978,0.687,24.21,57.158,32.0,10.842,-0.251927122,-0.721967697,4.725
109,416,29,142,Batna,Fesdis,6 272 188 889,3 561 632 222,6.272188888888889,35.61632222222222,,0,5,2.5,,8.163,0.389,30.726,59.434,27.348,13.217,-0.337109462,-0.652902143,5.464
110,417,29,142,Batna,Fesdis,6 272 188 889,3 561 632 222,6.272188888888889,35.61632222222222,,5,15,10.0,,8.169,0.39,30.163,59.098,27.853,13.049,-0.326700878,-0.655995626,5.445
111,418,29,142,Batna,Fesdis,6 272 188 889,3 561 632 222,6.272188888888889,35.61632222222222,,15,30,22.5,,8.189,0.393,27.937,57.765,29.853,12.382,-0.286676872,-0.668874053,5.372
112,419,29,142,Batna,Fesdis,6 272 188 889,3 561 632 222,6.272188888888889,35.61632222222222,,30,60,45.0,,8.205,0.396,26.132,56.684,31.474,11.842,-0.255508625,-0.680035509,5.313
113,420,29,143,Batna,Fesdis,6 270 536 111,3 560 964 444,6.270536111111111,35.60964444444445,,0,5,2.5,,7.491,0.208,18.0,49.217,30.348,20.434,-0.209985151,-0.381761837,1.376
114,421,29,143,Batna,Fesdis,6 270 536 111,3 560 964 444,6.270536111111111,35.60964444444445,,5,15,10.0,,7.498,0.21,18.0,49.049,30.853,20.098,-0.201332847,-0.387477404,1.278
115,422,29,143,Batna,Fesdis,6 270 536 111,3 560 964 444,6.270536111111111,35.60964444444445,,15,30,22.5,,7.525,0.216,18.0,48.382,32.853,18.765,-0.168108873,-0.411335338,0.892
116,423,29,143,Batna,Fesdis,6 270 536 111,3 560 964 444,6.270536111111111,35.60964444444445,,30,60,45.0,,7.546,0.222,18.0,47.842,34.474,17.684,-0.14231774,-0.432228911,0.578
117,460,33,162,Boumerdes,cote Algerienne pres de boumerdes,34 555,3 676 652 778,3.4555000000000002,36.766527777777775,5.0,0,5,2.5,SL,8.26,,0.93,7.0,,,,,0.148
118,461,33,162,Boumerdes,cote Algerienne pres de boumerdes,34 555,3 676 652 778,3.4555000000000002,36.766527777777775,5.0,5,15,10.0,SL,8.26,,0.93,7.0,,,,,0.148
119,462,34,163,Chelef,Tenes,1 333 333 333,"36,05",1.3333333333333333,36.5,177.0,15,30,22.5,L,6.8,0.5,,25.95,33.12,41.48,0.105952799,0.203701218,10.21
120,463,34,164,Chelef,Tenes,1 333 333 333,"36,05",1.3333333333333333,36.5,102.0,15,30,22.5,L,5.9,0.5,,18.45,35.33,46.22,0.282147032,0.398833335,2.21
121,464,34,165,Chelef,Tenes,1 333 333 333,"36,05",1.3333333333333333,36.5,177.0,15,30,22.5,L,6.8,0.5,,30.05,30.4799999999999,36.47,0.006170342,0.084091142,8.64
122,465,36,166,Djelfa,Bouira Lahdab,30 275,3 520 027 778,3.0275,35.20027777777778,841.0,5,15,10.0,SL,8.71,,5.38,13.0,17.0,70.0,0.116505235,0.731154354,
123,466,36,166,Djelfa,Bouira Lahdab,30 275,3 520 027 778,3.0275,35.20027777777778,841.0,15,30,22.5,SL,8.71,,5.38,13.0,17.0,70.0,0.116505235,0.731154354,
124,467,36,167,Djelfa,Bouira Lahdab,30 275,3 520 027 778,3.0275,35.20027777777778,841.0,30,60,45.0,SAL,8.84,,7.05,21.0,25.0,55.0,0.075720507,0.418143188,
125,468,36,167,Djelfa,Bouira Lahdab,30 275,3 520 027 778,3.0275,35.20027777777778,841.0,60,100,80.0,SAL,8.84,,7.05,21.0,25.0,55.0,0.075720507,0.418143188,
126,469,36,168,Djelfa,Bouira Lahdab,30 275,3 520 027 778,3.0275,35.20027777777778,841.0,30,60,45.0,SL,8.94,,5.35,14.0,30.0,56.0,0.330992909,0.602059681,
127,470,36,168,Djelfa,Bouira Lahdab,30 275,3 520 027 778,3.0275,35.20027777777778,841.0,60,100,80.0,SL,8.94,,5.35,14.0,30.0,56.0,0.330992909,0.602059681,
128,471,36,169,Djelfa,Bouira Lahdab,3 028 055 556,3 520 083 333,3.0280555555555555,35.200833333333335,836.0,15,30,22.5,SL,9.15,,4.1,4.0,23.0,73.0,0.759666759,1.26126178305764,
129,472,36,169,Djelfa,Bouira Lahdab,3 028 055 556,3 520 083 333,3.0280555555555555,35.200833333333335,836.0,30,60,45.0,SL,9.15,,4.1,4.0,23.0,73.0,0.759666759,1.26126178305764,
130,473,36,170,Djelfa,Bouira Lahdab,3 028 055 556,3 520 083 333,3.0280555555555555,35.200833333333335,836.0,15,30,22.5,SL,9.1,,3.84,12.0,17.0,71.0,0.151267313,0.772076741,
131,474,36,170,Djelfa,Bouira Lahdab,3 028 055 556,3 520 083 333,3.0280555555555555,35.200833333333335,836.0,30,60,45.0,SL,9.1,,3.84,12.0,17.0,71.0,0.151267313,0.772076741,
132,475,36,171,Djelfa,Bouira Lahdab,3 028 055 556,3 520 083 333,3.0280555555555555,35.200833333333335,836.0,15,30,22.5,L,8.77,,7.686,26.02,33.006,41.977,0.103285436,0.207703938,
133,476,36,171,Djelfa,Bouira Lahdab,3 028 055 556,3 520 083 333,3.0280555555555555,35.200833333333335,836.0,30,60,45.0,L,8.731,,8.932,19.206,31.059,49.765,0.208750318,0.413486858,
134,477,36,172,Djelfa,Bouira Lahdab,3 084 166 667,3 526 583 333,3.084166666666667,35.26583333333333,778.0,15,30,22.5,L,8.35,,8.71,26.0,32.0,42.0,0.090176463,0.208275775,
