,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
128,Relizane,35.733333,0.583333,8.0,39.0,20.4,15.0,2.0,2.1,0-15 cm
129,,34.0667,1.4167,6.1,14.51,10,11.5,44.5,2.4,0-10 cm
130,,36.72,4.05,7.1,22.4,2.2,14.6,0.21,1.35,0-20 cm
131,Blida,36.45,2.83,,14.95,2.84,,,,11
132,,36.7167,4.05,7.2,12.4,2.8,14.6,1.2,1.4,0-20 cm
133,Algiers,36.733333,3.033333,,,,,,,
134,Alger,,,,,,,,,Notfound
135,Alger,36.73,3.05,8.14,14.5,2.35,13.4,0.47,1.35,0-10 cm
137,Mitidja,36.6333,2.9333,7.6,115,2.5,20,0.45,1.35,0-30 cm
139,Relizane,35.7333,0.5833,7.3,21.1,1.25,20.5,1.23,1.35,0-20 cm
140,,36.72,4.05,7.2,26.6,2.2,15.1,0.45,1.35,0-20 cm
141,Tiaret,35.3067,1.4453,8.1,15.6,1.8,15.8,0.42,1.45,0-30 cm
145,Constantine,36.3651,6.6275,7.6,20.5,2.1,13.5,240,1.45,20
146,,36.716667,4.05,7.23,12.4,2.6,24.1,130,1.45,0-20
147,,36.7167,4.05,7.45,24.2,2.3,15.4,0.23,1.25,0-20 cm
148,,36.7167,4.05,7.42,12.45,2.56,14.21,0.25,1.42,0-20 cm
149,Tiaret,35.3833,1.4667,8.2,14.5,1.8,15.6,0.45,1.35,0-20 cm
151,,36.5333,4.05,7.4,14.2,2.5,12.1,0.42,1.35,0-20 cm
152,,36.533333,4.05,6.8,5.3,2.1,14.6,210,1.35,0-20 cm
153,,36.5333,4.05,7.3,240,1.4,18,0.46,1.33,0
154,Batna,35.6349,6.1729,8.5,340,1.3,23.2,0.34,1.45,0-30 cm
159,Bordj Bou Arreridj,36.0672,4.7574,7.65,24.5,1.35,14.8,0.14,1.55,0-20 cm
160,,36.72,4.05,7.5,20,2.5,15,0.3,1.4,0-30 cm
162,,36.7167,4.05,6.5,12.8,2.4,15.6,0.12,1.6,0-20 cm
163,Tiaret,35.3833,1.8167,8.1,35,1.5,15,0.2,1.6,0-30 cm
165,,36.7173,4.0467,7.3,15.2,2.5,15.4,0.22,1.4,0-20 cm
166,Tiaret,,,,,,,,,
167,,36.7167,4.05,7.8,10.3,2.5,15.6,0.3,1.4,0-20 cm
168,Ghardaia,32.3833,3.6667,8.5,200,1.5,20,0.5,1.3,20-50
169,Tipaza,36.5678,2.4567,7.8,12.5,2.1,24.5,0.45,1.35,0-30 cm
171,Alger,36.7733,3.05,8.59,14.4,4.1,2.38,0.37,,15 cm
172,Constantine,36.3651,6.6128,7.49,4.12,1.56,14.8,0.39,1.63,20-30 cm
176,Constantine,36.3597,6.6206,7.8,22.6,1.5,15.2,0.35,1.45,0 - 30 cm
177,Medea,36.2667,2.75,,,,,,0.232994709,
178,Relizane,35.7333,0.9333,7.53,18.1,1.13,12.3,0.55,1.41,0-20 cm
179,,36.7167,4.05,7.2,21.5,1.43,18.4,0.45,1.35,0-20 cm
180,,36.7167,4.05,7.41,123.2,1.26,2.0,0.000117,1.23,20-30 cm
181,Setif,36.483333,5.4,8.34,34.4,2.01,12.4,0.35,1.42,0-20
182,Mostaganem,35.941111,0.145556,8.45,26.7,1.23,23.4,0.25,1.42,0-20 cm
187,,36.26667,2.75,8.3,32.8,2.4,12.2,0.45,1.3,0-20 cm
189,Ghardaia,32.4567,3.6843,,,,,,,0.2
191,Ghardaia,32.4271,3.8139,7.9,390,0.97,53.302,0.035,1.55,0.42 mm to 0.81 mm
194,Sidi Bel Abbes,35.2,,8.2,150,2.5,20,4500,1.4,0-30 cm
196,Tlemcen,34.8833,,5.1,,,,,,
197,Algiers,36.7533,3.0667,7.6,29,0.15,,3.24,,
198,Tiaret,35.3772,1.3153,,,,,,,
200,Tlemcen,,,,,,,,,
204,Tiaret,35.3667,1.1333,8.5,23.5,1.8,35.6,1.42,1.35,0-30 cm
205,Tiaret,35.3833,1.1333,8.5,20.5,0.95,22.1,0.35,1.35,0-30 cm
206,Chlef,36.1767,1.2833,8.1,18.4,1.2,14.5,1.3,1.6,20-40 cm
207,Tipaza,36.5973,2.4549,7.85,4.31,1.34,15.23,0.82,1.42,0-30 cm
209,Relizane,35.733333,0.916667,8.1,32.5,1.5,15.2,0.21,1.4,0-30
211,,36.7167,4.05,33,,,,,,
213,,36.7679,3.0504,9.42,,0.635,,171,,
214,,36.7167,4.05,7.48,11.12,2.42,14.55,0.45,1.42,200mm
215,Annaba,,,"{'station A': 7.13, 'station B': 7.25}","{'station A': 28.5, 'station B': 25.8}","{'station A': 2.45, 'station B': 2.17}","{'station A': 20.5, 'station B': 18.3}","{'station A': 0.44, 'station B': 0.51}",,
216,Tipaza,36.5708,2.4523,8.2,35.5,2.3,15.2,0.5,1.45,0-30 cm
217,Constantine,36.3658,6.6143,7.8,18.2,2.1,20,350,1.4,0-30 cm
218,,36.7167,4.05,7.88,136,2.12,24.5,0.34,1.35,0-30 cm
219,Tiaret,35.3833,1.8333,8.1,16.4,1.2,15.6,0.35,1.42,0-30 cm
220,Wilaya de Setif,36.1967,5.4067,8.3,34.7,1.3,13.4,0.45,1.45,0-30 cm
221,Annaba,36.9,7.75,8.35,10.35,1.4,25.4,0.35,1.55,0-20 cm
222,Annaba,36.8833,7.7667,7.15,25.8,1.15,14.5,425,1.35,5-20 cm
224,Tiaret,35.3833,1.8333,8.23,35.12,2.34,15.67,0.48,1.35,0-20 cm
225,Annaba,36.9,7.75,7.22,,,,0.9,,5-20
226,Setif,35.8333,5.5833,,,32.67,294.22,,,5-20
227,,36.716667,4.05,7.69,24.88,0.11,102.87,0.14,1.65,5-20
228,Tiaret,35.3833,1.1333,7.91,378.269,11.61,318.769,340,1.37,5-20
229,Medea,36.2833,2.75,7.3,,,,,,
230,Biskra,34.85,5.73,,,,,,,Not specified
231,Ghardaia,32.3678,3.7333,8.1,35.4,1.4,15.2,0.45,1.53,0-30 cm
232,,32.39,3.67,,,,,,,
233,Biskra,,,,,,,,,
234,Biskra,34.85,5.73,8.1,35.6,1.4,15.3,3.2,1.4,0-30 cm
235,Tebessa,35.3997,8.116666,7.9,35.4,1.2,5.2,1.3,1.4,0-20 cm
236,Ghardaia,32.3939,3.8097,8.2,,,,,,
237,Biskra,34.85,5.7333,,,,,,,
238,Biskra,34.85,5.75,8.23,23.4,1.45,15.6,2.3,1.45,0-30 cm
239,Biskra,,,,,,,,,
240,Biskra,,,,,,,,,
241,Biskra,,,,,,,,,"0-10, 10-40, 40-70 cm"
242,Biskra,,,7,,0.5,40.8,,,0-120 cm
244,Djelfa,,,7.13,17.34,1.03,20.0,2.77,1.55,10 - 40
245,Biskra,34.7167,5.3833,7.9,23.9,0.91,12.8,2.33,,10
247,Biskra,,,7.14,45.75,2.08,35.2,3.88,,"[{'depth_value': '0-10 cm'}, {'depth_value': '10-40 cm'}, {'depth_value': '40-70 cm'}]"
248,Bechar,,,7.82,42.0,1.14,40.0,3.9,,0-10
249,Batna,,,7.09,44.09,1.69,39.2,0.88,,0-10
251,Biskra,34.85,5.73,7,11.6,1.5,25,2.5,1.6,0-20 cm
253,Biskra,34.85,5.73,,,,,6.96,,"0-10 cm, 10-30 cm, 30-50 cm, 50-70 cm, 70-90 cm, 90-110 cm"
254,Ghardaia,32.47,3.8,7.4,30.11,0.97,2.61,3.18,1.55,0-30 cm
255,Biskra,34.833333,5.733333,7,25,1.5,15,2.5,1.6,0-20 cm
256,,33.5333,6.8667,7-8,20-30,0.5-1.5,10-15,1-3,1.2-1.5,10-40 cm
257,Batna,,,,,,,,,
258,Batna,35.5542,6.1753,7.8,2.35,2.15,20.4,1.32,1.45,0-20 cm
260,Setif,35.3903,5.3792,,,,,,,
261,Batna,35.5533,6.1667,,,,,,,
262,Tiaret,35.383333,1.816667,8.05,14.8,1.15,15.6,236,1.35,0-30 cm
264,Tipaza,36.633333,2.483333,8.14,26.6,2.56,23.4,1.37,1.36,0-20 cm
265,Batna,35.555,6.1667,7.55,24.1,2.21,15.6,0.312,1.35,0-30 cm
266,Tiaret,35.3667,1.1333,8.1,14.5,2.3,24.7,0.53,1.35,0-30 cm
267,Batna,35.5556,6.1667,7.5,15.6,2.4,15.2,0.45,1.4,0-30 cm
268,Tiaret,35.2833,1.8667,7.2,11.1,2.5,24.6,0.35,1.4,0-20 cm
269,Setif,36.1858,5.4137,7.82,53.25,1.45,19.5,0.35,1.35,0-20 cm
270,Batna,35.3833,6.1667,,,,,,,
271,Batna,35.3833,5.8667,7.5,33.1,2.1,24.5,0.44,1.39,0-30 cm
272,Tiaret,35.3752,1.3194,7.95,3.22,1.85,14.1,0.23,1.35,0-20 cm
273,Tiaret,35.3833,1.8333,7.8,315,2.1,21.5,1.5,1.35,0-20 cm
277,Batna,,,7.3,17.3,4.32,,0.22,,0-30 cm
278,,35.3,,7.3,12.5,2.5,24.2,0.8,1.5,0-20 cm
279,Batna,,,6.89,28.5,22,,6.36,,
282,Batna,35.5639,6.1881,7.48,,,,0.62,,
283,,33.05,0.5333,7.24,12.6,2.15,14.2,0.58,1.35,20 cm
284,,36.7167,4.05,8.37,51.42,2.13,14.56,0.29,1.53,1-3
285,Tipaza,36.583333,2.45,7.42,84.88,3.95,24.53,0.23,1.35,0-30 cm
286,Medea,36.2677,2.75,,,2.2,,,,three profondeurs (not specified exactly)
288,Relizane,35.7418,,7.3,23.1,2.4,13.1,0.489,1.3,0-20 cm
290,Tipaza,36.5639,2.4439,7.85,10.3,2.45,24.5,1056,1.35,0-20 cm
292,,36.2667,2.1667,,,,,,,
293,Blida,36.483333,2.833333,,,,,,,
294,Batna,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided
295,Batna,35.55,6.16,7.4,23.1,2.3,14.2,118,1.4,0-20 cm
297,Tlemcen,34.8825,1.308333,7.35,18.75,2.25,12.5,250,1.45,0-20 cm
298,Batna,35.5553,6.1743,7.34,14.52,3.12,14.75,0.34,1.35,0-30 cm
299,Batna,35.5522,6.1644,8.22,23.4,2.56,25.1,0.53,1.42,0-30 cm
300,Batna,,,,,,,,,"20 cm, 40 cm, 60 cm"
301,Batna,,,,,,,,,
302,Ghardaia,,,,,58,,,,
306,,36.72,4.05,2,50,35,,,,
307,,36.72,4.05,6.5,10.3,1.8,14.1,0.15,1.3,0-20 cm
308,Tiaret,35.3833,1.0667,7.8,11.4,1.8,24.1,1.2,1.3,0-20 cm
309,Constantine,36.365302,6.613833,0,0,10,0,0,0,0
311,,36.55,4.05,7.33,23.48,5.12,20.35,0.53,1.35,0-20 cm
312,Batna,,,,,,,,,
313,Mostaganem,35.9333,0.05,7.9,34.1,2.1,14.3,0.21,1.35,0-20 cm
314,Tiaret,35.3833,1.4667,6.5,100,3.4,61,90,1.4,70m
315,Tiaret,35.3772,1.4639,7.5,350,2.5,12,1.2,1.6,0-20 cm
316,Batna,35.3833,6.1667,8.3,12.8,1.4,12.6,0.35,1.4,"20 cm, 40 cm"
317,Batna,,,7.36,13.1,2.93,,0.33,,"0-20 cm, 20-40 cm, 40-60 cm, 60-80 cm, 80-100 cm"
319,Batna,,,7.3,17.3,4.32,,0.22,,0-30 cm
320,,36.7167,4.05,7.4,2.1,5.4,21.5,250,1.2,10-20 cm
321,Tiaret,35.3823,1.4444,7.3,12.3,2.15,15.2,0.55,1.35,0-20 cm
322,Ain Temouchent,36.6333,1.5833,,,,,,,
324,Batna,35.555556,6.166667,6.89,28.5,22,,6.36,,
325,Tlemcen,34.8833,1.3167,7.44,24.1,4.5,21.5,1.35,1.25,0-20 cm
328,,36.7167,4.05,7.0,5.0,3.25,6.0,2.0,1.71,0-20 cm
330,,36.7167,4.05,7.26,,,,0.74,,
331,Mostaganem,35.9139,0.0973,7.44,23.6,2.46,17.2,0.22,1.32,20 cm
334,Mostaganem,35.9333,0.1167,7.3,24.79,22.18,0.099,0.234,1.63,20 cm
335,,36.7167,4.05,7.33,23.1,4.8,13.4,0.489,1.34,0-20 cm
336,Batna,35.558611,6.175833,7.59,21.6,1.93,23.1,0.39,1.35,0-20 cm
340,Constantine,36.365411,6.620433,,,,,,,
344,,36.7167,4.05,7.98,63,4.013,7.98,0.08,,
345,,33.0667,0.5167,8.84,,11.26,,7.14,,
346,,36.713889,4.043333,5.26,94.74,85.33,60,40,2.67,0-20 cm
348,Medea,36.2677,2.75,8.27,,49.32,,2.7,,Not specified
349,,36.2667,2.7667,8.32,,53.39,,2.67,,
350,Batna,,,,,,,,,
352,Batna,35.5536,6.1683,7.8,150,14.5,30,220,1.2,0-20 cm
353,Batna,35.55,6.17,8.12,27.5,2.5,15.8,1.27,1.35,0-20 cm
355,Tamanrasset,22.7903,5.5289,8.12,14.5,2.95,16.2,0.42,1.48,0-30 cm
358,Constantine,,,7.2,25,1.5,20,2.4,1.6,20
359,Batna,34.05,6.55,7.4,25.6,2.85,24.3,420,1.33,0-30 cm
360,Tipaza,36.57,2.45,7.8,15.2,2.4,21.5,0.16,1.43,0-30 cm
361,Batna,35.6253,5.7833,8.2,86,3.53,24.17,0.14,1.47,0 - 25 cm
362,Batna,35.5328,6.1032,7.4,34.2,4.1,16.3,0.15,1.45,0-30 cm
363,Biskra,34.85,5.73,7.8,220.8,1.45,22.4,0.44,1.44,0-30 cm
364,Batna,35.5667,5.6333,7.3,21.6,9.2,29.4,145,1.55,0-30 cm
366,Medea,36.273833,2.773333,7.5,15,2.4,18,0.36,1.33,20
367,,34.6703,3.2128,8.15,25.4,1.25,12.5,0.47,1.35,0-30 cm
370,Batna,35.6167,5.6333,7.34,34.5,4.12,14.5,0.215,1.35,25 cm
371,Constantine,36.3607,6.6122,7.8,34.5,2.15,18.2,450,1.4,0-30 cm
373,Batna,35.533333,6.066667,7.48,15.4,10.78,57.84,0.39,1.73,0 e 25 cm
374,Batna,35.5667,6.1667,7.14,43.85,34.74,36.23,57.18,1.8,0 - 25 cm
375,Batna,35.5323,6.0353,6.29,15900,5377,7200,1670,1.53,0-30 cm
376,,35.633333,4.516667,7.6,13400,4950,4950,0.7188,0.4958,Not specified
377,Batna,35.55,6.16,7,2450,1221,20,0.5265,1.1577,1800
378,Batna,35.55,6.2,7.4,2940,2.5,21,0.5004,1.4,0-30 cm
379,Batna,34.8333,6.1667,,,,,,,
380,,36.7167,4.05,,,2385,,,,
381,,36.7167,4.05,5.5,2.45,12.4,24.7,0.45,1.25,0-20 cm
382,Tipaza,36.583333,2.45,7.23,15.62,3.45,22.15,0.28,1.35,0-30 cm
383,,36.7167,4.05,6.3,4.15,2.1,22.5,0.26,1.3,0-20 cm
384,,36.7833,3.4167,7.5,20.5,3.2,15.8,0.8,1.3,0-20 cm
385,Bejaea,36.75,5.05,7.8,22.5,12.6,23.1,0.43,1.35,0-20 cm
387,,36.7167,4.05,7.84,35.8,14.8,23.8,0.48,1.35,0-20 cm
388,Batna,35.5467,6.0558,7.4,24.8,4.2,18.3,0.45,1.35,0-30 cm
389,,36.72,4.05,7.46,14.4,15.7,24.9,130,1.3,0-30 cm
390,Constantine,36.3577,6.6214,7.8,12.8,2.3,24.6,0.3,1.3,0-30 cm
391,,35.35,5.57,7.31,175.312,229.449,185.709,0.038,1.968,30 cm
392,Batna,35.567,6.167,7.56,124.45,2.86,14.24,0.881,1.58,20
393,,36.7167,4.05,8.1,23.6,2.5,22.4,0.45,1.45,0-20 cm
394,Sidi Bel Abbes,35.2,,7.8,2.45,1.6,12.5,0.35,1.4,0-30 cm
398,,36.7167,4.05,7.8,11.45,2.21,13.4,0.18,1.3,0-20 cm
400,Batna,35.55,6.1667,,,,,,,20 cm
401,Skikda,,,8.11,,35.44,105,1.39,,
402,Relizane,35.7372,0.5536,8.1,45,1.5,20,250,1.4,0-30 cm
404,Tipaza,36.56789,2.43456,7.5,120,2.4,24,0.25,1.35,0-20 cm
406,Mostaganem,35.9333,0.1333,7.8,40.5,1.8,24.4,0.4,1.4,0-20 cm
407,,31.9167,5.6333,7.5,20,3.5,15,0.5,1.2,30 cm
408,BATNA,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided
409,Tiaret,35.38,1.08,8.24,23.14,1.45,17.22,0.28,1.62,0-30 cm
411,Medea,36.25,2.75,8.2,23.5,2.5,20.5,0.45,1.35,0-30 cm
412,Wilaya of Mostaganem,35.9182,0.0881,7.5,20,3.2,12,0.5,1.2,20-30 cm
413,Tebessa,35.4,8.1,8.2,23.4,2.1,20.5,0.45,1.5,0-30 cm
414,,36.72,4.05,5.3,24.6,3.8,17.3,0.45,1.35,0-20 cm
415,,36.7167,4.05,7.4,232,12.2,24.1,0.34,1.4,0-20 cm
416,,36.7167,4.05,7.8,25,2.5,20,0.8,1.4,0-20 cm
417,,36.7167,4.05,7.8,25.3,3.1,23.4,0.4,1.4,0-30 cm
418,Gafsa,34.4167,8.7833,6,0.31,1,0.04,0.47,1.11,
419,Tiaret,35.383333,1.316667,7,40,10,10,10,10,0-20 cm
420,,36.7167,4.05,8,1.5,0.5,,,,
421,,35.2883,-1.1444,8.14,404.6,2.42,22.6,1.33,1.35,0-30
422,,36.7167,4.05,6.5,25.6,2.12,15.3,0.45,1.62,0-30 cm
423,Batna,35.5503,6.1943,5.84,,,,,,
424,Fes,34.0333,,7.84,14.2,2.15,24.5,0.35,2.65,0-20 cm
425,,36.7167,4.05,7.45,4.12,2.85,12.34,0.23,1.42,0-20 cm
426,Batna,,,,,,,,,
429,,36.7167,4.05,7.5,25.6,3.2,13.5,0.25,1.3,0-20 cm
430,Constantine,36.365,6.62,7.8,23,1.8,20,0.34,1.45,0-20 cm
431,,36.7167,4.05,7.4,12.5,2.1,14.5,210,1.4,0-30
433,Bejaea,36.75,5.05,7.87,23.4,2.15,14.6,0.47,1.35,0-30 cm
434,Kerman,30.2843,57.0771,7.8,,,10,,,0 e 30 cm
435,Safi,32.2901,,5-10,,,95 mequiv/100g,,,
436,,36.7167,4.05,7.42,15.6,3.8,20.5,0.4,1.45,0-20 cm
438,Tlemcen,34.8833,,8.1,23.1,2.3,14.2,0.45,1.35,0-20 cm
441,Wilaya of Tizi Ouzou,36.7167,4.05,,,,,,,
442,,36.7183,4.0453,7.42,2.45,1.23,21.1,0.42,2.65,0-20 cm
444,Batna,35.5333,6.1667,7.69,121.36,41.49,26.87,0.28,1.279,<200 em
445,Batna,34.8803,6.1443,7.9,24.5635,0.57,,,,
447,Batna,35.555555,6.166667,7.2,10.5,2.3,20.1,250,1.6,0-20 cm
448,Batna,35.3833,6.15,7.775,3.402,0.0196,0.13,0.984,5.278,Surface
450,Batna,35.5342,6.1956,6.2,0,0,0,0,0,0
451,Batna,35.55,6.13,6,,,,,,
452,Batna,35.5333,6.1667,7.8,23.1,2.14,24.5,0.34,1.33,0-20 cm
454,Oran,35.6853,,5.4-0.2,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned
456,Fes,,,5.4,,,,,,
457,Biskra,34.85,5.73,7.8,4.95,1.23,12.5,0.55,1.75,0-30 cm
459,Safi,32.2833,,7.85,23.6,1.8,14.3,1.35,2.63,0-30 cm
460,,36.357104,6.613199,8.56,14.6,2.45,24.8,0.34,1.57,0-30 cm
461,Batna,,,,,,,,,
462,Tebessa,35.4,8.1167,8.1,17.5,1.8,24.1,0.21,1.32,0-30 cm
463,Mostaganem,35.933333,0.116667,7.82,12.33,1.22,14.51,0.25,1.53,0
464,,36.716667,4.05,7.13,20.38,6.29,20.5,0.13,2.65,0-20 cm
465,Skikda,,,,,,,,,"0-60 cm, 30-100 cm"
467,Skikda,,,,,,,,,
469,Tiaret,35.3724,1.1333,8.3,250,2.5,20,500,1.6,0-30 cm
470,,36.72,4.05,7.8,18.5,2.15,15.1,0.25,1.35,0-20
471,Medea,36.25,2.75,7.5,14.3,1.8,18.6,0.12,1.45,0-30 cm
472,Tizi-Ouzou,36.7167,4.05,7.8,21.7,2.3,25.4,0.45,1.35,0-30 cm
473,Skikda,,,,,,,,,
474,Skikda,37.7833,7.2667,7.27,17.5,2.17,18.3,0.8,1.73,0-30 cm
